!x y1 y2 y3 y4 y5
486.57 10 5 40 1313 35096
487.35 10 7 42 1369 34920
488.12 7 5 42 1408 34573
488.89 7 5 40 1498 34046
489.67 13 7 47 1590 33557
490.44 18 4 50 1623 32946
491.21 7 7 45 1679 32332
491.99 4 8 57 1768 31547
492.76 13 7 60 1851 30554
493.53 10 6 62 1907 29735
494.31 7 8 60 2019 28807
495.08 7 7 62 2111 27868
495.85 15 11 67 2214 26904
496.62 10 9 72 2316 25822
497.40 13 8 77 2412 24793
498.17 18 10 75 2530 23893
498.94 10 11 100 2669 22811
499.71 13 10 100 2775 21874
500.48 13 10 98 2979 20845
501.26 15 11 120 3095 19869
502.03 10 12 140 3306 18974
502.80 18 11 145 3507 17943
503.57 7 11 155 3689 17040
504.34 13 12 178 3910 16055
505.12 18 14 201 4180 15331
505.89 15 15 244 4458 14461
506.66 7 14 251 4685 13647
507.43 15 16 299 4989 12798
508.20 18 17 352 5345 12082
508.97 15 21 382 5758 11383
509.75 10 20 453 6104 10761
510.52 18 25 516 6481 10058
511.29 18 24 602 6880 9430
512.06 18 24 677 7372 8888
512.83 15 29 765 7890 8290
513.60 18 28 879 8375 7729
514.37 18 32 1002 8969 7258
515.14 18 31 1141 9553 6752
515.91 15 31 1287 10285 6358
516.68 18 35 1504 11061 5908
517.45 18 32 1665 11883 5532
518.22 21 36 1867 12592 5192
519.00 18 37 2103 13440 4822
519.77 21 40 2366 14523 4543
520.54 24 42 2681 15529 4224
521.31 21 42 2975 16506 3919
522.08 27 45 3280 17793 3667
522.85 18 44 3631 18875 3443
523.62 18 48 3998 20182 3216
524.39 21 45 4364 21489 3016
525.16 13 50 4787 22799 2775
525.93 21 50 5231 24165 2620
526.69 21 49 5677 25581 2435
527.46 18 48 6140 26954 2296
528.23 24 51 6587 28307 2137
529.00 21 54 7113 29706 1985
529.77 24 55 7589 31016 1878
530.54 18 55 8053 32105 1752
531.31 18 54 8608 32917 1647
532.08 27 53 9051 34003 1538
532.85 27 52 9595 34583 1435
533.62 27 58 10014 35019 1368
534.39 15 58 10467 35494 1303
535.16 27 55 10994 35573 1204
535.92 27 58 11468 35316 1145
536.69 18 58 11926 35187 1080
537.46 21 59 12413 34639 1000
538.23 24 65 12957 33851 942
539.00 21 63 13290 33022 891
539.77 27 69 13713 32019 841
540.54 24 74 14207 30957 801
541.30 29 75 14739 29680 757
542.07 18 76 15177 28208 706
542.84 24 87 15598 26898 662
543.61 21 86 16087 25558 635
544.38 27 92 16606 24109 608
545.14 24 102 17067 22664 585
545.91 29 110 17700 21314 551
546.68 29 119 18103 19968 522
547.45 29 128 18748 18611 507
548.21 27 137 19310 17334 478
548.98 24 143 19912 16150 467
549.75 29 154 20504 14909 438
550.52 27 173 21200 13856 412
551.28 27 181 21855 12787 410
552.05 27 198 22493 11794 379
552.82 35 220 23138 10922 381
553.59 38 233 23788 10064 347
554.35 35 253 24370 9328 349
555.12 38 269 25111 8500 333
555.89 35 293 25784 7906 314
556.65 32 317 26353 7190 307
557.42 35 340 27044 6626 286
558.19 38 358 27765 6108 284
558.95 43 388 28289 5649 274
559.72 38 417 29020 5184 255
560.49 41 439 29657 4774 263
561.25 32 468 30285 4375 253
562.02 35 501 30693 3992 251
562.78 41 538 31403 3659 240
563.55 43 571 31814 3458 226
564.32 46 599 32185 3138 223
565.08 46 634 32764 2910 217
565.85 52 669 33311 2646 219
566.61 49 711 33528 2435 209
567.38 55 763 33891 2296 211
568.15 57 809 34344 2101 196
568.91 55 855 34490 1950 194
569.68 55 903 34727 1808 190
570.44 66 967 34942 1646 188
571.21 63 1026 35123 1560 194
571.97 57 1106 35269 1445 171
572.74 69 1189 35244 1372 165
573.50 77 1277 35239 1286 175
574.27 71 1379 35216 1217 169
575.03 77 1477 35108 1121 167
575.80 71 1593 34974 1062 156
576.56 80 1740 34838 999 163
577.33 88 1889 34604 933 160
578.09 94 2042 34349 874 163
578.86 88 2222 34022 834 150
579.62 105 2434 33717 805 152
580.38 99 2647 33362 772 146
581.15 116 2862 32973 735 152
581.91 111 3136 32585 696 152
582.68 130 3433 32069 666 148
583.44 136 3773 31550 616 139
584.21 139 4115 30955 616 135
584.97 139 4490 30335 574 139
585.73 147 4918 29634 577 144
586.50 169 5409 29078 557 135
587.26 167 5930 28390 517 133
588.02 197 6505 27797 504 129
588.79 197 7154 27006 504 142
589.55 220 7882 26416 481 133
590.31 231 8657 25749 471 129
591.08 242 9546 25000 488 144
591.84 267 10485 24310 461 129
592.60 290 11596 23521 442 118
593.37 315 12724 22778 445 127
594.13 337 14041 22042 422 137
594.89 371 15455 21386 428 129
595.66 385 16963 20709 409 125
596.42 424 18672 20086 415 125
597.18 455 20359 19456 418 125
597.94 491 22109 18773 428 125
598.71 531 23992 18025 418 118
599.47 592 25789 17435 422 121
600.23 634 27514 16840 399 123
600.99 696 29213 16117 389 121
601.76 743 30796 15490 409 114
602.52 830 32076 14852 389 114
603.28 923 33326 14351 382 116
604.04 1004 34253 13779 376 114
604.81 1077 34895 13103 392 121
605.57 1200 35376 12582 389 114
606.33 1320 35656 12090 399 114
607.09 1469 35523 11513 392 114
607.85 1606 35338 11075 389 114
608.61 1807 34774 10568 379 110
609.38 1959 33969 10036 405 114
610.14 2160 33080 9626 389 108
610.90 2365 31909 9182 395 110
611.66 2617 30755 8741 389 110
612.42 2891 29468 8282 405 106
613.18 3118 28096 7957 392 110
613.94 3471 26721 7567 379 106
614.70 3779 25262 7169 409 110
615.47 4137 23827 6778 405 108
616.23 4479 22395 6458 402 104
616.99 4817 20979 6123 402 104
617.75 5251 19631 5843 395 102
618.51 5702 18267 5521 395 95
619.27 6201 16950 5269 399 100
620.03 6674 15850 4986 382 100
620.79 7200 14700 4714 395 104
621.55 7732 13612 4520 399 102
622.31 8303 12561 4268 405 100
623.07 8889 11615 4051 415 91
623.83 9625 10676 3789 399 104
624.59 10314 9899 3603 402 97
625.35 11092 9067 3439 399 97
626.11 11745 8394 3222 389 93
626.87 12719 7691 3071 392 97
627.63 13573 7069 2900 395 95
628.39 14522 6489 2741 405 97
629.15 15505 5978 2585 392 89
629.91 16577 5486 2466 402 93
630.67 17720 5015 2292 392 95
631.43 18753 4633 2184 405 93
632.19 19890 4243 2091 422 85
632.95 21097 3904 1965 402 93
633.71 22443 3604 1844 405 89
634.46 23650 3315 1728 395 89
635.22 25036 3045 1632 382 91
635.98 26235 2829 1582 412 95
636.74 27416 2603 1468 409 89
637.50 28732 2390 1415 405 93
638.26 29785 2208 1320 422 83
639.02 30650 2035 1247 412 89
639.78 31669 1870 1186 405 89
640.53 32515 1717 1118 425 85
641.29 33179 1594 1055 425 87
642.05 33725 1477 1002 418 89
642.81 34164 1351 942 415 87
643.57 34660 1281 886 409 85
644.32 35169 1173 833 405 83
645.08 35312 1095 803 418 89
645.84 35419 998 763 415 85
646.60 35276 943 697 425 81
647.36 35281 877 682 418 85
648.11 35259 817 637 415 79
648.87 34878 762 607 412 81
649.63 34469 714 574 415 81
650.39 33890 666 539 405 87
651.14 33442 624 503 412 81
651.90 32532 587 478 402 79
652.66 31793 554 455 399 74
653.42 30925 520 428 418 76
654.17 29841 490 420 422 83
654.93 28581 457 402 399 81
655.69 27324 431 367 409 79
656.44 26134 404 362 412 76
657.20 24756 390 332 395 79
657.96 23569 374 309 399 74
658.71 22138 351 304 402 76
659.47 20853 335 287 425 72
660.23 19753 322 269 415 74
660.98 18456 305 261 399 70
661.74 17286 294 249 399 70
662.49 16015 283 226 392 72
663.25 14995 273 221 409 72
664.01 13903 259 224 399 74
664.76 13044 256 203 409 70
665.52 12005 237 186 412 70
666.27 11131 233 191 402 68
667.03 10429 224 176 379 64
667.79 9575 219 168 392 70
668.54 8883 212 158 402 68
669.30 8211 199 145 395 62
670.05 7612 202 145 399 68
670.81 7077 191 140 392 66
671.56 6455 186 135 372 68
672.32 5968 189 133 402 64
673.07 5523 183 120 379 66
673.83 5061 172 123 392 66
674.58 4686 173 113 382 64
675.34 4358 166 105 376 66
676.09 3991 163 103 379 58
676.85 3672 156 105 382 68
677.60 3420 150 98 389 62
678.36 3129 153 95 385 66
679.11 2899 147 90 385 60
679.87 2709 144 90 369 64
680.62 2468 148 82 369 62
681.38 2303 137 87 376 62
682.13 2107 146 80 366 55
682.88 1936 141 77 362 62
683.64 1810 141 80 372 60
684.39 1687 137 75 366 60
685.15 1578 130 72 372 55
685.90 1452 133 75 372 60
686.65 1343 133 75 376 62
687.41 1247 130 67 362 60
688.16 1138 127 62 359 49
688.91 1071 126 62 372 60
689.67 990 122 67 362 58
690.42 923 125 62 352 55
691.17 855 123 65 359 55
691.93 813 120 62 362 53
692.68 771 115 60 356 62
693.43 693 115 60 356 53
694.19 645 119 47 339 51
694.94 606 116 55 356 53
695.69 564 112 57 346 49
696.45 533 111 60 336 55
697.20 508 110 52 346 51
697.95 469 107 50 339 51
698.70 438 111 55 339 51
699.46 421 104 50 346 51
700.21 385 101 45 329 51
700.96 363 101 50 336 49
701.71 337 103 47 323 49
702.47 321 98 50 323 53
703.22 309 99 50 306 45
703.97 295 99 42 310 47
704.72 276 98 42 316 49
705.47 273 96 42 310 49
706.22 262 97 45 313 43
706.98 231 97 42 310 53
707.73 237 96 47 326 45
708.48 225 90 50 310 49
709.23 220 94 42 323 39
709.98 209 93 42 310 51
710.73 211 91 40 303 51
711.49 192 91 40 296 45
712.24 186 90 37 310 45
712.99 178 92 42 306 41
713.74 169 86 45 296 45
714.49 153 89 40 290 51
715.24 169 92 37 296 37
715.99 167 86 37 303 49
716.74 153 87 35 296 39
717.49 153 81 37 286 47
718.24 150 82 29 290 43
718.99 153 85 37 280 39
719.74 144 83 45 280 45
720.49 136 84 35 286 41
721.24 139 84 37 286 41
721.99 130 81 35 280 45
722.74 136 79 32 286 45
723.49 127 79 32 267 45
724.24 130 78 29 267 39
724.99 122 82 35 277 41
725.74 116 81 32 267 39
726.49 125 71 35 273 39
727.24 133 79 37 263 39
727.99 113 75 35 273 37
728.74 127 71 32 247 41
729.49 108 72 35 267 37
730.24 105 77 32 250 39
730.99 111 70 32 250 39
731.74 102 70 32 253 37
732.49 111 72 35 257 32
733.24 122 67 29 244 34
733.99 111 69 32 250 39
734.74 105 70 35 244 37
735.48 102 69 29 237 30
736.23 94 69 24 240 34
736.98 99 69 32 247 34
737.73 108 64 22 224 34
738.48 111 68 29 240 34
739.23 94 70 27 240 34
739.98 105 65 40 227 32
740.72 102 65 32 247 30
741.47 102 65 24 234 32
742.22 99 67 32 224 34
742.97 102 65 32 227 34
743.72 97 62 32 220 32
744.46 99 63 29 217 28
745.21 97 64 29 220 39
745.96 88 62 29 220 34
746.71 97 63 29 214 37
747.45 94 57 29 214 34
748.20 88 62 24 214 30
748.95 97 62 32 211 28
749.70 99 60 29 204 28
750.44 88 58 22 201 24
751.19 88 57 24 204 28
751.94 88 60 27 197 24
752.69 83 56 24 194 30
753.43 88 54 27 204 28
754.18 83 56 29 204 28
754.93 83 59 29 191 30
755.67 77 52 19 204 28
756.42 85 54 19 191 24
757.17 74 52 24 187 28
757.91 74 53 22 184 24
758.66 85 49 32 184 28
759.41 85 54 22 174 24
760.15 74 51 24 174 22
760.90 80 51 27 178 26
761.64 77 54 19 187 20
762.39 85 52 19 187 22
763.14 83 53 29 174 34
763.88 77 52 29 187 22
764.63 71 49 27 174 18
765.37 74 50 22 178 28
766.12 80 49 27 178 30
766.86 85 53 27 161 30
767.61 80 50 22 161 26
768.36 80 49 27 164 20
769.10 74 49 22 164 24
769.85 80 52 24 161 24
770.59 80 46 27 168 24
771.34 80 46 19 168 24
772.08 71 47 22 158 24
772.83 77 46 22 158 24
773.57 80 47 22 154 22
774.32 83 48 24 148 18
775.06 71 46 24 151 24
775.80 74 45 29 148 26
776.55 71 47 19 148 20
777.29 83 47 24 154 18
778.04 71 46 17 138 22
778.78 77 41 27 151 26
779.53 71 47 19 138 20
780.27 69 43 27 125 18
781.01 69 40 27 141 20
781.76 66 45 24 131 22
782.50 69 40 19 138 16
783.25 71 45 24 141 20
783.99 66 43 19 135 18
784.73 71 40 24 131 20
785.48 69 41 19 131 20
786.22 74 39 22 138 16
786.96 74 40 19 128 16
787.71 74 37 17 128 22
788.45 69 38 17 128 18
789.19 69 39 19 125 18
789.94 66 38 17 128 20
790.68 69 39 19 118 20
791.42 71 35 14 118 20
792.17 60 39 17 118 18
792.91 63 34 24 112 13
793.65 63 34 22 121 20
794.39 60 34 19 118 18
795.14 63 34 19 118 20
795.88 60 34 24 112 16
796.62 71 34 17 112 20
797.36 60 35 14 105 16
798.11 60 35 24 118 18
798.85 63 37 24 108 18
799.59 71 34 24 105 20
800.33 60 31 17 105 18
801.08 57 32 17 115 18
801.82 66 33 19 105 22
802.56 69 32 14 95 18
803.30 60 33 14 92 13
804.04 74 31 19 115 18
804.78 66 36 17 105 13
805.53 71 34 19 82 13
806.27 66 31 14 95 16
807.01 52 28 12 95 16
807.75 60 29 17 95 18
808.49 49 31 14 92 20
809.23 57 30 14 95 18
809.97 60 32 14 95 16
810.71 55 25 12 82 16
811.46 66 29 19 85 16
812.20 49 30 12 79 11
812.94 55 29 9 92 11
813.68 63 28 17 88 18
814.42 57 24 9 82 18
815.16 55 29 17 92 11
815.90 57 26 14 69 16
816.64 52 26 19 79 13
817.38 57 28 19 85 13
818.12 60 25 12 85 11
818.86 57 26 17 85 13
819.60 49 23 14 72 13
820.34 52 27 9 75 9
821.08 43 26 14 75 5
821.82 49 26 12 65 9
822.56 55 25 14 72 13
823.30 55 26 12 72 11
824.04 43 24 14 72 11
824.78 52 26 14 75 11
825.52 55 22 14 65 11
826.26 55 25 12 65 11
827.00 55 23 14 65 7
827.73 55 27 14 62 11
828.47 49 20 14 59 9
829.21 46 22 17 69 5
829.95 43 21 9 65 9
830.69 55 23 12 65 16
831.43 46 19 12 55 13
832.17 49 22 7 69 16
832.91 43 23 7 59 7
833.65 52 22 7 59 11
834.38 49 20 12 62 7
